,Site_name,Latitude,Longitude,Type
87,Sandbanks Provincial Park,43.9070266,-77.2392234,Provintial _Park
88,Sandbar Lake Provincial Park,49.4675848,-91.545432,Provintial _Park
89,Sauble Falls Provincial Park,44.6738004,-81.2586485,Provintial _Park
90,Selkirk Provincial Park,42.8158039,-79.9578763,Provintial _Park
91,Sharbot Lake Provincial Park,44.7739149,-76.7247294,Provintial _Park
92,Sibbald Point Provincial Park,44.3219564,-79.3254315,Provintial _Park
93,Silent Lake Provincial Park,44.9231957,-78.0712131,Provintial _Park
94,Silver Falls Provincial Park,48.6884314,-89.6270378,Provintial _Park
95,Silver Lake Provincial Park,44.8320332,-76.5764677,Provintial _Park
96,Sioux Narrows Provincial Park,49.4264163,-94.0477367,Provintial _Park
97,Six Mile Lake Provintial Park,44.8888148,-79.7498284,Provintial _Park
98,Sleeping Giant Provincial Park,48.3693046,-88.804575,Provintial _Park
99,Solace Provincial Park,47.1984076,-80.6935774,Provintial _Park
100,Spanish River Provincial Park,46.7010281,-81.7288613,Provintial _Park
101,Springwater Provincial Park,44.4386085,-79.7622105,Provintial _Park
102,Sturgeon Bay Provincial Park,45.6249572,-80.4142624,Provintial _Park
103,Sturgeon River Provincial Park,46.7203163,-80.3639815,Provintial _Park
104,The Massasauga Provincial Park,45.2641219,-80.0082648,Provintial _Park
105,Tidewater Provincial Park,51.2627966,-80.6241543,Provintial _Park
106,Turkey Point Provincial Park,42.7045507,-80.334486,Provintial _Park
107,Voyageur Provincial Park,45.55831,-74.4518921,Provintial _Park
108,Wabakimi Provincial Park,50.7578861,-89.5369022,Provintial _Park
109,Wakami Lake Provincial Park,47.4816312,-82.846108,Provintial _Park
110,Wasaga Beach Provincial Park,44.5254227,-80.0166578,Provintial _Park
111,Wheatley Provincial Park,42.0886953,-82.4454857,Provintial _Park
112,White Lake Provincial Park Campground,48.6951118,-85.6460947,Provintial _Park
113,Windy Lake Provincial Park,46.6191484,-81.4461277,Provintial _Park
114,Woodland Caribou Provincial Park,51.0790067,-94.8507658,Provintial _Park
115,Thousand Islands National Park,44.4529624,-75.8608846,National_Park
116,Point Pelee National Park Of Canada,41.962772,-82.51844,National_Park
117,Georgian Bay Islands National Park,44.8743165,-79.8699554,National_Park
118,Pukaskwa National Park,48.2456784,-85.8877814,National_Park
119,Bruce Peninsula National Park,45.2288114,-81.5232556,National_Park
