,Yelp_ID,Business_Name,Business_type,City,country,Address,Zipcode,Latitude,Longitude,url
10,AcQYAFOnrcAiRcNzxurj8Q,Battlefield House,Museums,Stoney Creek,CA,77 King Street W,L8G 1H9,43.21845,-79.76613,https://www.yelp.com/biz/battlefield-house-stoney-creek?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
11,dAW85qCwTvwsXuK0UH4t6Q,Bell Homestead National Historic Site,Museums,Brantford,CA,94 Tutela Heights Road,N3T 1A1,43.1076852,-80.2706868,https://www.yelp.com/biz/bell-homestead-national-historic-site-brantford?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
12,QTzzqjXARFm0IB_aSxBmPQ,Bellevue House National Historic Site,Museums,Kingston,CA,35 Centre Street,K7L 4E6,44.223011,-76.5040817,https://www.yelp.com/biz/bellevue-house-national-historic-site-kingston?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
13,HEwy1p3xhgToK2j8VH79lg,Benares Historic House,Museums,Mississauga,CA,1507 Clarkson Road,L5J 2W8,43.52753,-79.63718,https://www.yelp.com/biz/benares-historic-house-mississauga?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
14,HcXKWRA96P-i4d4lXgnStg,Billings Estate Museum,Museums,Ottawa,CA,2100 Cabot St,K1H 6K1,45.3894368,-75.6724851,https://www.yelp.com/biz/billings-estate-museum-ottawa?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
15,kukFiJdR5d1YvoOsdJWFAQ,Black Creek Pioneer Village,Local Flavor,Downsview,CA,1000 Murray Ross Pkwy,M3J 2P3,43.77478,-79.51804,https://www.yelp.com/biz/black-creek-pioneer-village-downsview?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
16,pLjUpszqzKGwiRIwBZZ9kA,Bradley Museum,Museums,Mississauga,CA,1620 Orr Road,L5J 4T2,43.51208,-79.6114599,https://www.yelp.com/biz/bradley-museum-mississauga?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
17,eet8K8x8EYvfAE0UCCGpLQ,Brockville Museum,Museums,Brockville,CA,5 Henry Street,K6V 6M4,44.5863346,-75.6866681,https://www.yelp.com/biz/brockville-museum-brockville?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
18,GoQeQ8OvL1vadB__1hA8xg,Campbell House Museum,Museums,Toronto,CA,160 Queen St W,M5H 3H3,43.6509,-79.38711,https://www.yelp.com/biz/campbell-house-museum-toronto?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
19,47CtZWsZubALuHY8q7Scmg,Canada Agriculture and Food Museum,Museums,Ottawa,CA,901 Prince of Wales Drive,K2C 3K1,45.387895,-75.707585,https://www.yelp.com/biz/canada-agriculture-and-food-museum-ottawa-2?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
20,r7uvoLc0b_I4euHzr3aNgQ,Canada Aviation and Space Museum,Museums,Ottawa,CA,11 Aviation Parkway,K1K 4Y5,45.4581642,-75.644246,https://www.yelp.com/biz/canada-aviation-and-space-museum-ottawa?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
21,Ce1deBMCGyTLng1HnAf2AQ,Canada Science and Technology Museum,Museums,Ottawa,CA,1867 St Laurent Boulevard,K1G 5A3,45.40374642,-75.61990349,https://www.yelp.com/biz/canada-science-and-technology-museum-ottawa?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
22,#NAME?,Canadian Automotive Museum,Museums,Oshawa,CA,99 Simcoe Street S,L1H 4G7,43.8948331,-78.8623571,https://www.yelp.com/biz/canadian-automotive-museum-oshawa?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
23,FnNlgWOU7EyGu6VCNbvYDQ,Canadian Baseball Hall of Fame and Museum,Museums,St. Marys,CA,386 Church Street S,N4X,43.2499732,-81.145233,https://www.yelp.com/biz/canadian-baseball-hall-of-fame-and-museum-st-marys?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
24,7_J58LNwOaULJDOEtW_RVw,Canadian Bushpilot Heritage Centre,Museums,Sault Ste. Marie,CA,50 Pim Street,P6A 3G9,46.5067276,-84.3229769,https://www.yelp.com/biz/canadian-bushpilot-heritage-centre-sault-ste-marie?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
25,Cbh1DmSM_WcjyyJ_5jJDSg,Canadian Canoe Museum,Museums,Peterborough,CA,910 Monaghan Road,K9J 5K4,44.28845,-78.33025,https://www.yelp.com/biz/canadian-canoe-museum-peterborough?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
26,FoJyvCTKFYBIWMMoINFPww,Canadian Football Hall of Fame,Museums,Hamilton,CA,64 Melrose Avenue N,L8L 8C1,43.25225528,-79.83126383,https://www.yelp.com/biz/canadian-football-hall-of-fame-hamilton?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
27,rfMgNtnrbQGZ8kWYp1gq6w,Canadian Historical Aircraft Assoc,Museums,Windsor,CA,2600 Airport Road,N8V 1A1,42.2683611,-82.9683634,https://www.yelp.com/biz/canadian-historical-aircraft-assoc-windsor?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
28,m40tVj_Pv_8coUej_aWmig,Canadian Museum of Hindu Civilization,Museums,Richmond Hill,CA,8640 Yonge Street,L4C 6Z4,43.8382919,-79.4297293,https://www.yelp.com/biz/canadian-museum-of-hindu-civilization-richmond-hill?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
29,n1YUona13b2E3zqyaTvOTQ,Canadian Museum of Nature,Museums,Ottawa,CA,240 McLeod Street,K2P 2R1,45.41271425,-75.68851456,https://www.yelp.com/biz/canadian-museum-of-nature-ottawa-3?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
30,4_S8wtNZRNP4uN8fCpp0LA,Canadian War Museum,Museums,Ottawa,CA,1 Vimy Place,K1A 0M8,45.417273,-75.716904,https://www.yelp.com/biz/canadian-war-museum-ottawa?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
31,ii3cy9m8uSfygj10jZ7VRw,Canadian Warplane Heritage Museum,Museums,Mount Hope,CA,9280 Airport Road,L0R 1W0,43.15996,-79.9248999,https://www.yelp.com/biz/canadian-warplane-heritage-museum-mount-hope?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
32,s4c_f9WwcolJTNitq2gWpQ,Casa Loma,Museums,Toronto,CA,1 Austin Terrace,M5R 1X8,43.678142,-79.409433,https://www.yelp.com/biz/casa-loma-toronto?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
33,o8jHCd0EfduS0Wrj5AQPOQ,Castle Dracula Wax Museum,Museums,Niagara Falls,CA,4933 Clifton Hill,L2G 3N5,43.09145,-79.07425,https://www.yelp.com/biz/castle-dracula-wax-museum-niagara-falls?adjust_creative=F8OOUfRx1ujSudXJ-CRTfA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=F8OOUfRx1ujSudXJ-CRTfA
